Stagione,HomeTeam,AwayTeam,Quota_1,Quota_X,Quota_2
2017-2018,Genoa,Bologna,2.21,3.21,3.52
2017-2018,Udinese,Sampdoria,2.51,3.26,2.93
2017-2018,Fiorentina,Atalanta,2.21,3.39,3.3
2017-2018,Sassuolo,Bologna,2.04,3.33,3.9
2017-2018,Cagliari,Chievo,2.24,3.27,3.36
2017-2018,Crotone,Benevento,1.98,3.33,4.15
2017-2018,Inter,Genoa,1.33,5.14,9.25
2017-2018,Verona,Lazio,5.93,4.16,1.57
2017-2018,Sampdoria,Milan,3.7,3.6,2.01
2017-2018,Juventus,Torino,1.38,4.89,8.3
2017-2018,Spal,Napoli,14.09,6.79,1.21
2017-2018,Crotone,Inter,8.34,4.76,1.39
2017-2018,Bologna,Napoli,8.98,4.95,1.36
2017-2018,Benevento,Torino,4.0,3.68,1.9
2017-2018,Lazio,Milan,2.3,3.45,3.07
2017-2018,Atalanta,Sassuolo,1.62,3.85,5.86
2017-2018,Cagliari,Crotone,1.63,3.85,5.85
2017-2018,Udinese,Genoa,2.47,3.16,3.08
2017-2018,Verona,Fiorentina,3.73,3.43,2.05
2017-2018,Inter,Spal,1.21,6.7,14.05
2017-2018,Juventus,Chievo,1.23,5.95,13.0
2017-2018,Milan,Cagliari,1.29,5.59,10.19
2017-2018,Chievo,Lazio,4.04,3.39,1.97
2017-2018,Crotone,Verona,2.75,3.13,2.73
2017-2018,Fiorentina,Sampdoria,1.66,3.99,5.09
2017-2018,Napoli,Atalanta,1.34,5.13,8.95
2017-2018,Spal,Udinese,2.47,3.2,3.02
2017-2018,Torino,Sassuolo,1.66,3.91,5.21
2017-2018,Roma,Inter,2.19,3.51,3.22
2017-2018,Benevento,Bologna,2.64,3.14,2.82
2017-2018,Genoa,Juventus,8.41,4.36,1.42
2017-2018,Bologna,Torino,3.26,3.3,2.28
2017-2018,Crotone,Milan,7.23,4.21,1.49
2017-2018,Inter,Fiorentina,1.5,4.34,6.54
2017-2018,Lazio,Spal,1.26,5.86,11.88
2017-2018,Sampdoria,Benevento,1.62,3.83,5.88
2017-2018,Sassuolo,Genoa,1.9,3.51,4.19
2017-2018,Udinese,Chievo,2.03,3.25,4.05
2017-2018,Atalanta,Roma,2.86,3.4,2.48
2017-2018,Verona,Napoli,7.91,4.76,1.4
2017-2018,Juventus,Cagliari,1.13,8.38,21.25
2016-2017,Crotone,Lazio,2.63,3.74,2.48
2016-2017,Fiorentina,Pescara,1.2,7.35,12.38
2016-2017,Inter,Udinese,1.38,5.03,7.66
2016-2017,Palermo,Empoli,5.78,4.32,1.54
2016-2017,Torino,Sassuolo,1.8,4.03,3.89
2016-2017,Roma,Genoa,1.05,13.38,37.5
2016-2017,Sampdoria,Napoli,10.89,6.39,1.25
2016-2017,Cagliari,Milan,3.51,3.9,1.97
2016-2017,Atalanta,Chievo,1.3,5.73,8.75
2016-2017,Bologna,Juventus,5.04,4.02,1.64
2016-2017,Pescara,Palermo,1.86,3.89,3.83
2016-2017,Lazio,Inter,1.64,4.38,4.53
2016-2017,Milan,Bologna,1.28,5.68,10.88
2016-2017,Empoli,Atalanta,2.74,3.28,2.61
2016-2017,Genoa,Torino,2.14,3.29,3.54
2016-2017,Juventus,Crotone,1.1,9.26,27.25
2016-2017,Sassuolo,Cagliari,1.75,3.94,4.37
2016-2017,Udinese,Sampdoria,2.01,3.5,3.68
2016-2017,Napoli,Fiorentina,1.2,7.54,12.48
2016-2017,Chievo,Roma,14.25,7.18,1.19
2016-2017,Roma,Juventus,2.4,3.43,3.0
2016-2017,Bologna,Pescara,1.68,3.93,5.06
2016-2017,Cagliari,Empoli,2.57,3.44,2.71
2016-2017,Crotone,Udinese,1.81,3.66,4.38
2016-2017,Palermo,Genoa,3.75,3.31,2.09
2016-2017,Sampdoria,Chievo,1.77,3.75,4.6
2016-2017,Torino,Napoli,6.21,4.93,1.46
2016-2017,Inter,Sassuolo,1.35,5.29,8.14
2016-2017,Atalanta,Milan,2.04,3.41,3.74
2016-2017,Fiorentina,Lazio,1.73,4.18,4.3
2016-2017,Pescara,Roma,13.13,7.2,1.2
2016-2017,Juventus,Genoa,1.17,7.15,17.5
2016-2017,Milan,Empoli,1.37,4.98,8.58
2016-2017,Chievo,Torino,3.29,3.61,2.14
2016-2017,Lazio,Palermo,1.16,7.83,18.48
2016-2017,Sampdoria,Crotone,1.91,3.45,4.21
2016-2017,Udinese,Cagliari,1.74,3.75,4.84
2016-2017,Sassuolo,Napoli,8.65,5.0,1.37
2016-2017,Fiorentina,Inter,2.69,3.54,2.54
2016-2017,Atalanta,Bologna,1.34,5.05,9.54
2016-2017,Napoli,Udinese,1.2,6.84,14.75
2016-2017,Sassuolo,Sampdoria,2.23,3.5,3.16
2016-2017,Roma,Atalanta,1.45,4.53,7.21
2016-2017,Cagliari,Chievo,2.07,3.41,3.7
2016-2017,Fiorentina,Empoli,1.37,4.95,8.61
2016-2017,Genoa,Lazio,5.54,4.09,1.61
2016-2017,Palermo,Bologna,2.79,3.19,2.66
2016-2017,Pescara,Juventus,12.75,6.28,1.23
2016-2017,Torino,Crotone,1.55,4.25,6.01
2016-2017,Inter,Milan,2.08,3.55,3.57
2016-2017,Lazio,Napoli,2.93,3.46,2.39
2016-2017,Milan,Palermo,1.24,6.09,11.93
2016-2017,Bologna,Roma,7.35,4.6,1.44
2016-2017,Cagliari,Torino,3.07,3.59,2.26
2016-2017,Crotone,Inter,7.5,4.63,1.43
2016-2017,Udinese,Genoa,1.93,3.45,4.18
2016-2017,Sampdoria,Fiorentina,3.31,3.44,2.19
2016-2017,Juventus,Chievo,1.2,6.45,15.63
2016-2017,Atalanta,Sassuolo,1.47,4.41,6.94
2016-2017,Empoli,Pescara,1.92,3.74,3.86
2016-2017,Lazio,Torino,1.51,4.42,6.25
2016-2017,Palermo,Roma,8.05,4.92,1.38
2016-2017,Chievo,Empoli,1.97,3.23,4.28
2016-2017,Fiorentina,Cagliari,1.39,4.85,7.98
2016-2017,Inter,Atalanta,1.84,3.55,4.44
2016-2017,Napoli,Crotone,1.15,8.0,18.67
2016-2017,Pescara,Udinese,2.9,3.5,2.34
2016-2017,Sassuolo,Bologna,1.93,3.43,4.2
2016-2017,Genoa,Sampdoria,2.53,3.15,2.97
2016-2017,Juventus,Milan,1.41,4.65,8.5
2016-2017,Bologna,Lazio,4.97,3.72,1.72
2016-2017,Cagliari,Inter,5.32,3.87,1.67
2016-2017,Crotone,Sassuolo,3.05,3.23,2.42
2016-2017,Empoli,Genoa,2.83,3.05,2.72
2016-2017,Torino,Palermo,1.47,4.41,6.95
2016-2017,Udinese,Juventus,8.08,4.18,1.46
2016-2017,Atalanta,Fiorentina,2.02,3.43,3.77
2016-2017,Milan,Chievo,1.59,4.02,5.83
2016-2017,Sampdoria,Pescara,1.62,4.22,5.08
2016-2017,Roma,Napoli,2.14,3.58,3.32
2016-2017,Fiorentina,Torino,1.83,3.8,4.18
2016-2017,Inter,Roma,2.53,3.47,2.78
2016-2017,Chievo,Pescara,1.91,3.63,3.95
2016-2017,Crotone,Cagliari,2.57,3.2,2.88
2016-2017,Genoa,Bologna,2.01,3.28,4.05
2016-2017,Lazio,Udinese,1.47,4.35,7.17
2016-2017,Sassuolo,Milan,2.73,3.38,2.57
2016-2017,Palermo,Sampdoria,3.02,3.3,2.37
2016-2017,Juventus,Empoli,1.17,7.0,19.67
2016-2017,Napoli,Atalanta,1.58,3.95,6.0
2016-2017,Bologna,Milan,3.48,3.25,2.18
2016-2017,Crotone,Juventus,12.67,5.35,1.26
2016-2017,Roma,Fiorentina,1.59,3.98,5.78
2016-2017,Juventus,Inter,1.61,3.78,6.3
2016-2017,Palermo,Crotone,2.33,3.2,3.23
2016-2017,Atalanta,Cagliari,1.39,4.68,8.25
2016-2017,Chievo,Udinese,2.73,3.08,2.77
2016-2017,Empoli,Torino,3.43,3.38,2.12
2016-2017,Genoa,Sassuolo,2.02,3.47,3.7
2016-2017,Pescara,Lazio,5.78,4.07,1.57
2016-2017,Milan,Sampdoria,1.75,3.7,4.97
2016-2017,Bologna,Napoli,6.63,4.18,1.51
2016-2017,Pescara,Fiorentina,3.7,3.45,2.04
2016-2017,Napoli,Palermo,1.11,9.42,21.33
2016-2017,Cagliari,Bologna,2.39,3.27,3.05
2016-2017,Crotone,Empoli,2.41,3.1,3.18
2016-2017,Fiorentina,Genoa,1.68,3.78,5.22
2016-2017,Sampdoria,Roma,4.73,3.87,1.72
2016-2017,Sassuolo,Juventus,8.58,4.43,1.41
2016-2017,Udinese,Milan,3.18,3.3,2.31
2016-2017,Torino,Atalanta,2.37,3.32,3.05
2016-2017,Inter,Pescara,1.21,6.38,13.67
2016-2017,Lazio,Chievo,1.47,4.17,7.67
2016-2017,Roma,Cagliari,1.22,6.75,12.33
2016-2017,Atalanta,Sampdoria,1.69,3.72,5.22
2016-2017,Bologna,Torino,2.87,3.17,2.57
2016-2017,Empoli,Udinese,2.7,3.08,2.82
2016-2017,Genoa,Crotone,1.5,4.07,7.17
2016-2017,Palermo,Inter,7.0,4.18,1.49
2016-2017,Pescara,Sassuolo,2.95,3.42,2.37
2016-2017,Napoli,Sampdoria,1.26,6.0,11.08
2016-2017,Empoli,Palermo,2.0,3.23,4.14
2016-2017,Roma,Chievo,1.34,5.08,9.78
2016-2017,Cagliari,Sassuolo,2.43,3.35,2.97
2016-2017,Fiorentina,Napoli,4.24,3.7,1.83
2016-2017,Palermo,Pescara,2.22,3.13,3.57
2016-2017,Sampdoria,Udinese,1.94,3.52,4.03
2016-2017,Torino,Genoa,1.81,3.67,4.5
2016-2017,Inter,Lazio,2.08,3.42,3.62
2016-2017,Atalanta,Empoli,1.5,4.12,7.08
2016-2017,Genoa,Palermo,1.51,3.97,7.42
2016-2017,Lazio,Fiorentina,1.82,3.7,4.26
2016-2017,Chievo,Sampdoria,2.2,3.22,3.5
2016-2017,Napoli,Torino,1.43,4.65,7.33
2016-2017,Pescara,Bologna,2.39,3.2,3.12
2016-2017,Udinese,Crotone,1.61,3.78,6.17
2016-2017,Sassuolo,Inter,4.67,3.8,1.76
2016-2017,Juventus,Roma,1.71,3.68,5.5
2016-2017,Milan,Atalanta,2.27,3.13,3.45
2016-2017,Empoli,Cagliari,2.08,3.3,3.73
2016-2017,Genoa,Fiorentina,2.88,2.75,2.85
2016-2017,Roma,Milan,1.64,4.07,5.2
2016-2017,Fiorentina,Sassuolo,1.6,4.03,5.7
2016-2017,Inter,Genoa,1.63,3.92,5.48
2016-2017,Atalanta,Udinese,1.7,3.58,5.5
2016-2017,Bologna,Empoli,2.2,3.17,3.53
2016-2017,Palermo,Chievo,2.97,3.02,2.64
2016-2017,Torino,Juventus,4.5,3.45,1.86
2016-2017,Cagliari,Napoli,7.08,4.58,1.46
2016-2017,Sampdoria,Lazio,3.37,3.47,2.18
2016-2017,Torino,Chievo,1.68,3.65,5.57
2016-2017,Milan,Inter,2.88,3.08,2.66
2016-2017,Atalanta,Roma,3.73,3.53,2.02
2016-2017,Bologna,Palermo,1.85,3.47,4.67
2016-2017,Crotone,Torino,4.82,3.75,1.74
2016-2017,Empoli,Fiorentina,3.78,3.42,2.03
2016-2017,Lazio,Genoa,1.71,3.87,4.92
2016-2017,Sampdoria,Sassuolo,2.2,3.37,3.38
2016-2017,Juventus,Pescara,1.14,8.08,18.67
2016-2017,Udinese,Napoli,5.03,3.88,1.68
2016-2017,Chievo,Cagliari,1.94,3.47,4.12
2016-2017,Roma,Bologna,1.24,6.25,11.67
2016-2017,Fiorentina,Sampdoria,1.55,4.08,6.2
2016-2017,Inter,Crotone,1.27,5.72,12.23
2016-2017,Chievo,Juventus,7.0,3.77,1.54
2016-2017,Genoa,Udinese,1.88,3.43,4.43
2016-2017,Palermo,Milan,5.17,3.68,1.71
2016-2017,Sassuolo,Atalanta,2.58,3.2,2.88
2016-2017,Pescara,Empoli,2.33,3.22,3.22
2016-2017,Napoli,Lazio,1.68,3.93,5.17
2016-2017,Torino,Cagliari,1.54,4.29,6.08
2016-2017,Cagliari,Palermo,1.72,3.7,5.0
2016-2017,Udinese,Torino,2.68,3.27,2.7
2016-2017,Sampdoria,Inter,3.72,3.53,2.02
2016-2017,Milan,Pescara,1.35,5.0,9.08
2016-2017,Crotone,Chievo,3.5,3.2,2.23
2016-2017,Empoli,Roma,5.75,4.05,1.59
2016-2017,Lazio,Sassuolo,1.48,4.4,6.85
2016-2017,Atalanta,Genoa,2.32,3.2,3.38
2016-2017,Juventus,Napoli,1.74,3.55,5.33
2016-2017,Sampdoria,Genoa,3.02,3.27,2.47
2016-2017,Palermo,Torino,4.41,3.42,1.88
2016-2017,Chievo,Milan,3.07,3.1,2.55
2016-2017,Genoa,Empoli,1.78,3.5,5.0
2016-2017,Inter,Cagliari,1.34,5.07,9.33
2016-2017,Lazio,Bologna,1.44,4.28,8.17
2016-2017,Sassuolo,Crotone,1.52,4.2,6.6
2016-2017,Fiorentina,Atalanta,1.68,3.75,5.42
2016-2017,Juventus,Udinese,1.2,6.83,16.33
2016-2017,Pescara,Sampdoria,2.42,3.28,3.02
2016-2017,Napoli,Roma,1.88,3.63,4.25
2016-2017,Roma,Inter,1.89,3.62,4.11
2016-2017,Milan,Sassuolo,1.61,3.83,6.0
2016-2017,Torino,Fiorentina,2.4,3.23,3.08
2016-2017,Atalanta,Napoli,5.3,3.73,1.69
2016-2017,Bologna,Genoa,2.52,3.17,3.0
2016-2017,Cagliari,Crotone,1.61,3.93,5.83
2016-2017,Sampdoria,Palermo,1.71,3.67,5.28
2016-2017,Empoli,Juventus,10.08,5.1,1.33
2016-2017,Udinese,Lazio,2.97,3.27,2.43
2016-2017,Pescara,Chievo,2.63,3.13,2.85
2016-2017,Cagliari,Sampdoria,2.13,3.3,3.57
2016-2017,Crotone,Atalanta,4.39,3.3,1.92
2016-2017,Fiorentina,Milan,2.22,3.25,3.43
2016-2017,Genoa,Pescara,1.65,3.67,5.67
2016-2017,Inter,Bologna,1.44,4.48,7.5
2016-2017,Lazio,Empoli,1.49,4.18,7.25
2016-2017,Sassuolo,Udinese,2.03,3.33,3.93
2016-2017,Torino,Roma,3.43,3.5,2.12
2016-2017,Napoli,Chievo,1.39,4.67,8.75
2016-2017,Sampdoria,Milan,3.1,3.27,2.36
2016-2017,Empoli,Crotone,1.71,3.63,5.38
2016-2017,Pescara,Inter,4.42,3.48,1.85
2016-2017,Milan,Udinese,1.55,4.1,5.92
2016-2017,Roma,Sampdoria,1.36,5.08,8.25
2016-2017,Atalanta,Torino,2.52,3.23,2.89
2016-2017,Chievo,Lazio,3.43,3.13,2.25
2016-2017,Bologna,Cagliari,2.18,3.22,3.52
2016-2017,Palermo,Napoli,8.75,5.17,1.36
2016-2017,Juventus,Sassuolo,1.3,5.17,10.92
2016-2017,Cagliari,Roma,5.27,4.1,1.61
2016-2017,Crotone,Genoa,6.25,3.8,1.58
2016-2017,Fiorentina,Chievo,1.6,3.78,6.08
2016-2017,Sampdoria,Atalanta,2.47,3.22,3.0
2016-2017,Sassuolo,Pescara,1.62,3.88,5.67
2016-2017,Torino,Bologna,1.84,3.38,4.59
2016-2017,Udinese,Empoli,2.05,3.3,3.87
2016-2017,Inter,Palermo,1.3,5.48,10.17
2016-2017,Napoli,Milan,1.6,4.13,5.6
2016-2017,Lazio,Juventus,4.13,3.3,2.0
2016-2017,Atalanta,Lazio,2.82,3.18,2.63
2016-2017,Bologna,Crotone,1.73,3.43,5.58
2016-2017,Chievo,Inter,3.78,3.28,2.07
2016-2017,Empoli,Sampdoria,2.13,3.28,3.6
2016-2017,Genoa,Cagliari,1.97,3.4,4.1
2016-2017,Palermo,Sassuolo,3.23,3.13,2.38
2016-2017,Pescara,Napoli,8.0,4.5,1.42
2016-2017,Milan,Torino,1.86,3.48,4.47
2016-2017,Juventus,Fiorentina,1.48,4.0,7.75
2016-2017,Roma,Udinese,1.45,4.5,7.25
2015-2016,Lazio,Fiorentina,1.89,3.78,3.75
2015-2016,Palermo,Verona,1.24,6.33,11.0
2015-2016,Udinese,Carpi,2.13,3.53,3.28
2015-2016,Chievo,Bologna,2.28,3.32,3.18
2015-2016,Empoli,Torino,2.57,3.5,2.6
2015-2016,Genoa,Atalanta,1.58,4.27,5.3
2015-2016,Milan,Roma,2.88,3.72,2.3
2015-2016,Napoli,Frosinone,1.07,11.67,27.0
2015-2016,Sassuolo,Inter,1.64,4.07,4.92
2015-2016,Juventus,Sampdoria,1.21,6.58,13.33
2015-2016,Torino,Napoli,7.17,4.75,1.43
2015-2016,Verona,Juventus,5.47,4.22,1.59
2015-2016,Atalanta,Udinese,3.47,3.27,2.17
2015-2016,Carpi,Lazio,2.8,3.27,2.55
2015-2016,Fiorentina,Palermo,1.64,3.98,5.23
2015-2016,Frosinone,Sassuolo,5.0,4.05,1.64
2015-2016,Roma,Chievo,1.2,6.68,14.67
2015-2016,Bologna,Milan,3.8,3.42,2.02
2015-2016,Inter,Empoli,1.35,5.17,8.67
2015-2016,Napoli,Atalanta,1.15,8.08,16.5
2015-2016,Genoa,Roma,5.5,3.9,1.63
2015-2016,Lazio,Inter,2.23,3.47,3.23
2015-2016,Milan,Frosinone,1.25,6.15,11.67
2015-2016,Empoli,Bologna,2.37,3.25,3.1
2015-2016,Palermo,Sampdoria,1.9,3.62,4.03
2015-2016,Sassuolo,Verona,1.51,4.38,6.25
2015-2016,Juventus,Carpi,1.29,5.42,11.0
2015-2016,Chievo,Fiorentina,4.33,3.55,1.84
2015-2016,Udinese,Torino,1.95,3.43,4.1
2015-2016,Sampdoria,Milan,3.32,3.35,2.22
2015-2016,Lazio,Empoli,1.51,4.29,6.4
2015-2016,Fiorentina,Sassuolo,1.79,3.65,4.62
2015-2016,Juventus,Palermo,1.14,7.75,24.33
2015-2016,Udinese,Chievo,1.93,3.43,4.18
2015-2016,Verona,Frosinone,1.59,4.03,5.58
2015-2016,Atalanta,Roma,4.73,3.65,1.77
2015-2016,Inter,Napoli,3.13,3.23,2.37
2015-2016,Carpi,Genoa,2.67,3.1,2.79
2015-2016,Bologna,Torino,2.93,3.08,2.6
2015-2016,Roma,Bologna,1.28,5.52,11.17
2015-2016,Palermo,Lazio,3.38,3.4,2.18
2015-2016,Napoli,Verona,1.23,6.17,11.83
2015-2016,Sampdoria,Udinese,2.07,3.27,3.75
2015-2016,Torino,Atalanta,1.94,3.3,4.15
2015-2016,Empoli,Fiorentina,3.4,3.28,2.22
2015-2016,Milan,Juventus,3.87,3.22,2.08
2015-2016,Chievo,Carpi,2.13,3.22,3.65
2015-2016,Sassuolo,Genoa,1.93,3.35,4.16
2015-2016,Frosinone,Inter,5.75,3.85,1.6
2015-2016,Bologna,Verona,1.82,3.52,4.75
2015-2016,Inter,Torino,1.71,3.73,5.0
2015-2016,Atalanta,Milan,3.47,3.23,2.22
2015-2016,Chievo,Palermo,2.17,3.28,3.57
2015-2016,Fiorentina,Sampdoria,1.6,4.0,5.73
2015-2016,Genoa,Frosinone,1.53,4.0,6.92
2015-2016,Lazio,Roma,3.67,3.3,2.1
2015-2016,Udinese,Napoli,6.75,4.29,1.49
2015-2016,Juventus,Empoli,1.28,5.17,12.0
2015-2016,Carpi,Sassuolo,3.3,3.12,2.32
2015-2016,Inter,Palermo,1.33,5.18,9.83
2015-2016,Atalanta,Juventus,9.25,4.0,1.44
2015-2016,Bologna,Carpi,2.02,3.18,4.1
2015-2016,Frosinone,Udinese,3.53,3.4,2.12
2015-2016,Genoa,Empoli,2.03,3.28,3.93
2015-2016,Sassuolo,Milan,2.9,3.23,2.55
2015-2016,Torino,Lazio,2.51,3.1,3.05
2015-2016,Napoli,Chievo,1.18,6.97,16.67
2015-2016,Verona,Sampdoria,2.5,3.37,2.82
2015-2016,Fiorentina,Napoli,3.38,3.3,2.22
2015-2016,Lazio,Sassuolo,1.75,3.6,5.0
2015-2016,Juventus,Inter,1.56,3.78,7.0
2015-2016,Carpi,Atalanta,2.47,3.12,3.08
2015-2016,Chievo,Genoa,2.85,3.02,2.73
2015-2016,Sampdoria,Frosinone,1.56,4.0,6.42
2015-2016,Udinese,Verona,1.92,3.55,4.07
2015-2016,Palermo,Bologna,2.85,3.13,2.64
2015-2016,Milan,Torino,1.84,3.47,4.55
2015-2016,Empoli,Roma,4.08,3.4,1.94
2015-2016,Roma,Palermo,1.29,5.67,10.5
2015-2016,Atalanta,Fiorentina,3.57,3.22,2.18
2015-2016,Genoa,Udinese,1.99,3.27,4.15
2015-2016,Sassuolo,Empoli,2.1,3.2,3.83
2015-2016,Torino,Carpi,1.62,3.65,6.25
2015-2016,Inter,Sampdoria,1.51,4.28,7.0
2015-2016,Verona,Chievo,2.48,3.17,3.07
2015-2016,Bologna,Juventus,7.17,3.57,1.61
2015-2016,Empoli,Udinese,2.03,3.4,3.78
2015-2016,Fiorentina,Carpi,1.41,4.6,8.0
2015-2016,Inter,Chievo,1.43,4.4,8.83
2015-2016,Juventus,Genoa,1.31,5.33,11.17
2015-2016,Lazio,Napoli,3.72,3.43,2.05
2015-2016,Palermo,Milan,4.0,3.53,1.95
2015-2016,Sampdoria,Torino,2.95,3.13,2.57
2015-2016,Verona,Atalanta,2.37,3.27,3.1
2015-2016,Frosinone,Bologna,2.95,3.22,2.51
2015-2016,Sassuolo,Roma,2.97,3.2,2.47
2015-2016,Milan,Inter,2.62,3.05,3.0
2015-2016,Bologna,Sampdoria,2.1,3.3,3.65
2015-2016,Genoa,Fiorentina,3.27,3.28,2.28
2015-2016,Napoli,Empoli,1.27,5.75,11.0
2015-2016,Torino,Verona,1.65,3.85,5.33
2015-2016,Udinese,Lazio,3.4,3.3,2.2
2015-2016,Chievo,Juventus,8.9,4.0,1.47
2015-2016,Roma,Frosinone,1.23,6.68,12.5
2015-2016,Atalanta,Sassuolo,2.35,3.17,3.25
2015-2016,Carpi,Palermo,2.23,3.2,3.43
2015-2016,Juventus,Roma,1.57,3.82,7.17
2015-2016,Inter,Carpi,1.46,4.44,7.57
2015-2016,Lazio,Chievo,1.67,3.7,5.5
2015-2016,Palermo,Udinese,2.55,3.15,2.93
2015-2016,Sampdoria,Napoli,6.58,4.31,1.5
2015-2016,Sassuolo,Bologna,2.07,3.28,3.77
2015-2016,Verona,Genoa,3.4,3.32,2.18
2015-2016,Fiorentina,Torino,1.81,3.43,4.67
2015-2016,Empoli,Milan,3.48,3.27,2.2
2015-2016,Frosinone,Atalanta,3.17,3.33,2.3
2015-2016,Carpi,Udinese,3.0,3.2,2.45
2015-2016,Napoli,Torino,1.39,4.67,8.5
2015-2016,Empoli,Inter,3.43,3.18,2.24
2015-2016,Milan,Bologna,1.51,4.1,7.08
2015-2016,Chievo,Roma,3.05,3.2,2.43
2015-2016,Juventus,Verona,1.18,7.08,17.5
2015-2016,Lazio,Carpi,1.44,4.37,7.82
2015-2016,Palermo,Fiorentina,4.87,3.62,1.74
2015-2016,Sassuolo,Frosinone,1.42,4.48,8.12
2015-2016,Udinese,Atalanta,2.12,3.18,3.87
2015-2016,Genoa,Sampdoria,2.35,3.03,3.32
2015-2016,Inter,Lazio,1.98,3.34,4.1
2015-2016,Frosinone,Milan,6.0,3.8,1.62
2015-2016,Sampdoria,Palermo,2.22,3.27,3.38
2015-2016,Torino,Udinese,1.75,3.5,5.15
2015-2016,Roma,Genoa,1.52,4.34,6.75
2015-2016,Atalanta,Napoli,6.58,4.17,1.53
2015-2016,Fiorentina,Chievo,1.47,4.23,7.52
2015-2016,Verona,Sassuolo,2.63,3.18,2.8
2015-2016,Carpi,Juventus,10.5,4.65,1.35
2015-2016,Bologna,Empoli,2.7,3.03,2.86
2015-2016,Lazio,Sampdoria,1.44,4.48,7.58
2015-2016,Juventus,Fiorentina,1.76,3.4,5.38
2015-2016,Napoli,Roma,1.7,3.78,5.13
2015-2016,Milan,Verona,1.4,4.7,8.25
2015-2016,Chievo,Atalanta,2.42,3.07,3.18
2015-2016,Empoli,Carpi,1.93,3.4,4.21
2015-2016,Udinese,Inter,3.95,3.3,2.02
2015-2016,Palermo,Frosinone,1.8,3.58,4.67
2015-2016,Genoa,Bologna,1.92,3.35,4.33
2015-2016,Inter,Frosinone,1.21,6.58,15.5
2015-2016,Atalanta,Torino,2.7,3.22,2.72
2015-2016,Carpi,Chievo,3.22,3.03,2.42
2015-2016,Fiorentina,Empoli,1.55,4.0,6.25
2015-2016,Genoa,Sassuolo,2.08,3.4,3.65
2015-2016,Lazio,Palermo,1.45,4.37,7.5
2015-2016,Udinese,Sampdoria,2.15,3.32,3.53
2015-2016,Verona,Napoli,8.8,4.65,1.4
2015-2016,Juventus,Milan,1.58,3.77,7.37
2015-2016,Bologna,Roma,4.85,3.53,1.8
2015-2016,Sampdoria,Fiorentina,4.5,3.58,1.82
2015-2016,Napoli,Udinese,1.22,6.45,13.6
2015-2016,Roma,Lazio,2.01,3.52,3.78
2015-2016,Empoli,Juventus,5.6,3.55,1.7
2015-2016,Frosinone,Genoa,3.6,3.5,2.05
2015-2016,Palermo,Chievo,2.42,3.17,3.17
2015-2016,Sassuolo,Carpi,1.69,3.62,5.52
2015-2016,Torino,Inter,2.88,3.15,2.63
2015-2016,Milan,Atalanta,1.71,3.68,5.23
2015-2016,Verona,Bologna,2.32,3.22,3.3
2015-2016,Palermo,Empoli,2.38,3.15,3.2
2015-2016,Chievo,Sampdoria,2.13,3.3,3.53
2015-2016,Lazio,Milan,2.01,3.42,3.9
2015-2016,Bologna,Atalanta,2.72,3.07,2.78
2015-2016,Carpi,Verona,2.52,3.25,2.9
2015-2016,Genoa,Napoli,5.08,3.82,1.71
2015-2016,Udinese,Sassuolo,2.36,3.27,3.15
2015-2016,Fiorentina,Frosinone,1.26,5.75,12.0
2015-2016,Inter,Roma,2.47,3.38,2.95
2015-2016,Juventus,Torino,1.55,3.8,6.92
2015-2016,Inter,Juventus,3.07,3.28,2.45
2015-2016,Atalanta,Carpi,1.78,3.53,4.92
2015-2016,Frosinone,Sampdoria,2.65,3.35,2.68
2015-2016,Genoa,Chievo,2.03,3.27,3.88
2015-2016,Napoli,Fiorentina,1.73,3.78,5.08
2015-2016,Verona,Udinese,2.33,3.27,3.18
2015-2016,Bologna,Palermo,2.6,3.17,2.87
2015-2016,Roma,Empoli,1.41,4.58,8.25
2015-2016,Milan,Napoli,3.1,3.37,2.35
2015-2016,Fiorentina,Atalanta,1.7,3.67,5.25
2015-2016,Juventus,Bologna,1.27,5.58,13.5
2015-2016,Lazio,Frosinone,1.33,5.0,10.0
2015-2016,Palermo,Roma,4.32,3.65,1.85
2015-2016,Sampdoria,Inter,4.0,3.45,2.0
2015-2016,Udinese,Genoa,2.5,3.18,2.98
2015-2016,Empoli,Sassuolo,2.58,3.28,2.8
2015-2016,Chievo,Verona,2.2,3.25,3.48
2015-2016,Carpi,Torino,3.47,3.17,2.25
2015-2016,Atalanta,Sampdoria,1.97,3.45,4.03
2015-2016,Frosinone,Empoli,3.32,3.28,2.25
2015-2016,Inter,Fiorentina,2.08,3.35,3.8
2015-2016,Bologna,Udinese,2.89,3.12,2.62
2015-2016,Sassuolo,Chievo,2.28,3.1,3.48
2015-2016,Torino,Palermo,1.67,3.73,5.58
2015-2016,Verona,Lazio,3.9,3.45,1.99
2015-2016,Genoa,Milan,2.68,3.22,2.72
2015-2016,Napoli,Juventus,2.22,3.3,3.52
2015-2016,Roma,Carpi,1.31,5.58,10.83
2015-2016,Sampdoria,Bologna,1.92,3.35,4.22
2015-2016,Inter,Milan,2.19,3.24,3.57
2015-2016,Lazio,Udinese,1.56,3.9,6.5
2015-2016,Empoli,Napoli,4.17,3.53,1.91
2015-2016,Palermo,Carpi,1.75,3.5,5.32
2015-2016,Sassuolo,Atalanta,2.22,3.25,3.43
2015-2016,Verona,Torino,2.91,3.32,2.48
